departamento,provincia,anio,longitud,latitud,NDVI,SAVI,EVI,NDMI,precipitacion_mm,temperatura_c,altitud_m
Puno,Azángaro,2020.0,-70.41444354570869,-14.808727458710312,0.24003181,0.16856353,0.159157,-0.10443843,636.7499,7.7387276,3921.0
Puno,Azángaro,2020.0,-70.41444354570869,-14.763811694504337,0.31109965,0.22959106,0.22982456,-0.0115980385,629.2335,7.7387276,3888.0
Puno,Azángaro,2020.0,-70.00121851501372,-15.123137808152146,0.23836608,0.15595399,0.15057486,-0.07170542,601.02454,8.169278,3999.0
Puno,Azángaro,2020.0,-70.00121851501372,-14.629064401886408,0.2003386,0.12464888,0.115248516,-0.20841087,847.86505,3.6367795,4283.0
Puno,Azángaro,2020.0,-70.27969625309076,-14.71889593029836,0.22102161,0.14880952,0.1378138,-0.16981132,679.8497,7.568696,3984.0
Puno,Azángaro,2020.0,-70.09105004342567,-15.257885100770073,0.15889786,0.117075406,0.11066543,-0.1335192,560.513,8.883738,3838.0
Puno,Azángaro,2020.0,-70.09105004342567,-15.07822204394617,0.20545098,0.14301409,0.13636781,-0.09978439,554.9138,8.708972,4126.0
Puno,Azángaro,2020.0,-70.41444354570869,-14.584148637680432,0.21208565,0.12896897,0.12307221,-0.2004644,707.3489,7.6421027,4254.0
Puno,Azángaro,2020.0,-70.2257973360436,-14.539232873474456,0.3030457,0.20033558,0.18592918,-0.09180966,799.3418,4.0579424,4713.0
Puno,Azángaro,2020.0,-70.27969625309076,-14.539232873474456,0.2137473,0.12420616,0.11443682,-0.22801489,788.608,5.0030375,4216.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.808727458710312,0.18862297,0.11525469,0.10758086,-0.19673581,610.82715,8.041728,3917.0
Puno,Azángaro,2020.0,-69.90240383376057,-14.808727458710312,0.38090605,0.27453375,0.26154223,0.023069529,705.5258,6.828251,3885.0
Puno,Azángaro,2020.0,-70.00121851501372,-14.94347475132824,0.20784642,0.13038166,0.12196715,-0.16454965,606.9396,6.8632035,4645.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.629064401886408,0.27511635,0.17421703,0.16501921,-0.116631895,753.4711,4.405688,4298.0
Puno,Azángaro,2020.0,-70.13596580763165,-14.359569816650552,0.26848635,0.17973422,0.16656403,-0.05994851,888.6952,5.6140914,4105.0
Puno,Azángaro,2020.0,-70.36952778150273,-14.988390515534217,0.21099834,0.15259832,0.14465913,-0.09193412,601.724,8.385572,3876.0
Puno,Azángaro,2020.0,-69.90240383376057,-14.449401345062505,0.24462521,0.1496091,0.14104325,-0.20445682,855.78394,4.3331428,4369.0
Puno,Azángaro,2020.0,-70.04613427921969,-15.30280086497605,0.15016517,0.11587764,0.11081702,-0.08009361,553.5921,9.484016,3829.0
Puno,Azángaro,2020.0,-70.09105004342567,-14.673980166092385,0.231011,0.15003403,0.13986236,-0.1542199,769.06226,6.1312127,4604.0
Puno,Azángaro,2020.0,-70.00121851501372,-15.257885100770073,0.1603466,0.12451165,0.11722475,-0.07986701,591.77905,9.484016,3827.0
Puno,Azángaro,2020.0,-70.00121851501372,-14.808727458710312,0.29424408,0.2011538,0.18691306,-0.05444076,653.73566,7.4995213,3962.0
Puno,Azángaro,2020.0,-70.00121851501372,-15.401615546229197,0.18907736,0.13941428,0.12786436,-0.09079405,385.03333,9.203404,3847.0
Puno,Azángaro,2020.0,-70.04613427921969,-15.212969336564097,0.1789923,0.13926457,0.1311995,-0.09028424,572.5585,9.3122,3830.0
Puno,Azángaro,2020.0,-70.14494896047285,-15.257885100770073,0.18265255,0.13640472,0.12962565,-0.111060575,556.9711,8.883738,3871.0
Puno,Azángaro,2020.0,-70.00121851501372,-14.449401345062505,0.25948253,0.1725309,0.15898667,-0.18709469,875.8761,5.4242625,4448.0
Puno,Azángaro,2020.0,-69.85748806955459,-14.71889593029836,0.24654114,0.15738001,0.15806463,-0.1634206,785.14777,5.043348,4600.0
Puno,Azángaro,2020.0,-70.09105004342567,-15.30280086497605,0.18330097,0.13950738,0.13210188,-0.08360902,519.55975,8.883738,3840.0
Puno,Azángaro,2020.0,-70.27969625309076,-14.673980166092385,0.19630611,0.12416625,0.116046526,-0.18596403,693.67834,7.568696,4113.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.359569816650552,0.21656936,0.13591951,0.12752095,-0.22815064,862.4679,5.660489,4335.0
Puno,Azángaro,2020.0,-70.04613427921969,-15.033306279740193,0.20555687,0.1416135,0.13213658,-0.15706289,570.2144,6.668631,3981.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.763811694504337,0.22988628,0.16716471,0.15998994,-0.07416593,633.6152,8.041728,3883.0
Puno,Azángaro,2020.0,-69.91138698660177,-15.212969336564097,0.23823602,0.16011702,0.16309114,-0.026346378,537.0947,9.198477,3818.0
Puno,Azángaro,2020.0,-69.91138698660177,-15.16805357235812,0.22651933,0.13517298,0.12645125,-0.17286786,597.4802,9.198477,4016.0
Puno,Azángaro,2020.0,-70.2257973360436,-14.49431710926848,0.2965533,0.20626408,0.19502696,-0.09252813,747.13184,4.0579424,4177.0
Puno,Azángaro,2020.0,-70.2347804888848,-15.07822204394617,0.24541312,0.12929805,0.11795551,-0.20711821,518.9068,8.920724,4172.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.853643222916288,0.2302569,0.15775749,0.1429922,-0.12234855,620.9924,6.8632035,4004.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.584148637680432,0.2678152,0.18066561,0.16902426,-0.104968555,784.61224,4.405688,4676.0
Puno,Azángaro,2020.0,-70.13596580763165,-15.16805357235812,0.15661429,0.10362173,0.0970645,-0.1355242,552.98395,9.111691,3876.0
Puno,Azángaro,2020.0,-70.13596580763165,-14.539232873474456,0.28885823,0.18629865,0.17347166,-0.13821715,853.8492,3.635195,4830.0
Puno,Azángaro,2020.0,-70.2347804888848,-14.853643222916288,0.2216968,0.15740618,0.1515163,-0.11835555,624.167,7.831219,3875.0
Puno,Azángaro,2020.0,-69.95630275080774,-14.808727458710312,0.2216906,0.14277562,0.13688287,-0.14699332,670.6877,7.4995213,4237.0
Puno,Azángaro,2020.0,-70.36952778150273,-14.763811694504337,0.23373419,0.16118605,0.15503897,-0.14584802,628.42303,7.7387276,3916.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.449401345062505,0.23961937,0.14720123,0.135902,-0.1382179,788.8324,5.0308275,4257.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.763811694504337,0.26550922,0.19345881,0.19057171,-0.06631258,706.5932,7.4995213,3964.0
Puno,Azángaro,2020.0,-70.36952778150273,-14.853643222916288,0.22135837,0.13459595,0.12490895,-0.17694741,611.36694,8.25038,4075.0
Puno,Azángaro,2020.0,-70.00121851501372,-15.07822204394617,0.21787858,0.14001143,0.1308179,-0.15606509,569.71985,8.169278,3870.0
Puno,Azángaro,2020.0,-69.95630275080774,-14.673980166092385,0.27132228,0.1674123,0.16131777,-0.13814513,787.7849,5.794626,4516.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.71889593029836,0.2258198,0.14771958,0.13774347,-0.18219462,699.27185,6.727426,4006.0
Puno,Azángaro,2020.0,-70.09105004342567,-15.033306279740193,0.19332308,0.13278581,0.13166381,-0.12855537,550.8983,7.549707,4005.0
Puno,Azángaro,2020.0,-70.09105004342567,-14.49431710926848,0.22979598,0.14139827,0.13582763,-0.20636864,813.1266,3.635195,4732.0
Puno,Azángaro,2020.0,-70.04613427921969,-15.257885100770073,0.16572414,0.12692703,0.12781654,-0.10835777,591.77905,9.484016,3830.0
Puno,Azángaro,2020.0,-69.85748806955459,-14.763811694504337,0.27263963,0.18546602,0.17778005,-0.09382642,798.81793,6.828251,4163.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.71889593029836,0.25247148,0.18151523,0.17285237,-0.08036533,679.5887,7.568696,3912.0
Puno,Azángaro,2020.0,-70.2347804888848,-14.673980166092385,0.28297344,0.19604291,0.18562442,-0.09895805,703.03467,6.727426,4273.0
Puno,Azángaro,2020.0,-70.00121851501372,-14.988390515534217,0.29885474,0.20325226,0.19091259,-0.10410777,608.6344,6.668631,4161.0
Puno,Azángaro,2020.0,-70.14494896047285,-15.212969336564097,0.20209092,0.15678559,0.15340249,-0.066405684,581.7266,9.111691,3874.0
Puno,Azángaro,2020.0,-70.09105004342567,-14.94347475132824,0.20322122,0.13955759,0.13034958,-0.13553986,599.5581,7.285894,3864.0
Puno,Azángaro,2020.0,-70.00121851501372,-15.347716629182026,0.22694175,0.15378289,0.14386828,-0.13685648,553.5921,9.484016,3901.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.404485580856528,0.30814558,0.21444653,0.19902985,-0.08123022,835.611,5.660489,4290.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.449401345062505,0.25895917,0.15184553,0.13850923,-0.21446626,835.611,5.660489,4540.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.898558987122264,0.17078826,0.111968026,0.10826611,-0.12956047,620.67664,8.0436535,4260.0
Puno,Azángaro,2020.0,-69.94731959796654,-14.584148637680432,0.19812715,0.13314198,0.13040939,-0.16446126,878.9646,3.8731284,4779.0
Puno,Azángaro,2020.0,-70.2347804888848,-15.16805357235812,0.17426799,0.12516287,0.11846711,-0.13275096,565.523,8.73243,3917.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.584148637680432,0.19845796,0.1350224,0.13393934,-0.07640888,706.10626,6.3105416,3967.0
Puno,Azángaro,2020.0,-70.32461201729674,-15.033306279740193,0.23502216,0.14419667,0.13667433,-0.1570851,558.2686,8.45959,3966.0
Puno,Azángaro,2020.0,-70.41444354570869,-14.94347475132824,0.17005593,0.10610515,0.10147287,-0.19907734,636.3839,8.25038,3972.0
Puno,Azángaro,2020.0,-70.18986472467881,-14.94347475132824,0.17112744,0.118042104,0.11706513,-0.062319748,580.6049,7.831219,3851.0
Puno,Azángaro,2020.0,-70.27071310024957,-14.359569816650552,0.24038461,0.15918231,0.14663209,-0.16348124,866.7668,5.0308275,4068.0
Puno,Azángaro,2020.0,-70.36952778150273,-14.71889593029836,0.46361887,0.32624623,0.32593995,0.0949418,675.592,7.894896,3897.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.94347475132824,0.2049505,0.13738938,0.1264798,-0.18690497,606.9396,6.8632035,4019.0
Puno,Azángaro,2020.0,-70.27969625309076,-14.94347475132824,-0.301002,-0.012179037,-0.010534511,-0.16435075,611.66064,8.0436535,4036.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.988390515534217,0.25120547,0.18189734,0.17362946,-0.07747814,608.35126,8.45959,3900.0
Puno,Azángaro,2020.0,-69.95630275080774,-15.07822204394617,0.20791571,0.13648634,0.12616181,-0.11153119,582.32166,8.169278,3837.0
